Event_ID,window_ts,stage_ts,stage,request_uri,is_resource_request,non_resource_path,actor_id,actor_uid,actor_groups,actor_type,verb,resource_type,resource_name,resource_uid,api_group,resource,subresource,namespace,resource_instance,status_code,decision,reason,source_ip,source_ips_all,user_agent_raw,label
5893a8f7-c369-4ea4-b57c-901316a0dfbb,2026-03-10T03:10:15.817887Z,2026-03-10T03:10:15.819356Z,ResponseComplete,/api/v1/nodes?limit=500,1,,system:serviceaccount:audit-sys:sys-sa,bda9fe10-10d8-4896-b54f-0537f4f8d840,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-sys"", ""system:authenticated""]",serviceaccount,list,core/nodes,__LIST__,,core,nodes,,__cluster__,core/nodes/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""sys-sa-global-reader"" of ClusterRole ""sys-global-reader"" to ServiceAccount ""sys-sa/audit-sys""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.2 (linux/amd64) kubernetes/fdc9d74,0
3a4f1d7b-a802-43ef-ad92-876d9afcf580,2026-03-10T03:10:15.866989Z,2026-03-10T03:10:15.867145Z,ResponseComplete,/api,0,/api,system:serviceaccount:audit-ops:ops-sa,cbef2ba6-6b64-405a-9318-ecb79008ae4b,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-ops"", ""system:authenticated""]",serviceaccount,get,__NON_RESOURCE__,,,,,,__NON_RESOURCE__,__NON_RESOURCE__:/api,200,allow,"RBAC: allowed by ClusterRoleBinding ""system:discovery"" of ClusterRole ""system:discovery"" to Group ""system:authenticated""",192.168.3.248,"[""192.168.3.248""]",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 attack-sim/attack-sim-1773112214-8175-1-14886,1
6c4f3f43-a394-41fe-acdc-58f38b31f998,2026-03-10T03:10:15.923638Z,2026-03-10T03:10:15.924573Z,ResponseComplete,/api/v1/events?limit=500,1,,system:serviceaccount:audit-sys:sys-sa,bda9fe10-10d8-4896-b54f-0537f4f8d840,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-sys"", ""system:authenticated""]",serviceaccount,list,core/events,__LIST__,,core,events,,__cluster__,core/events/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""sys-sa-global-reader"" of ClusterRole ""sys-global-reader"" to ServiceAccount ""sys-sa/audit-sys""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.2 (linux/amd64) kubernetes/fdc9d74,0
5711d1e5-9110-4891-a5c7-41df845a3439,2026-03-10T03:10:16.226918Z,2026-03-10T03:10:16.231160Z,ResponseComplete,/apis/batch/v1/jobs?limit=500,1,,system:serviceaccount:kube-system:cronjob-controller,f6588e3c-8d2f-402f-8306-8494dfdbb0eb,"[""system:serviceaccounts"", ""system:serviceaccounts:kube-system"", ""system:authenticated""]",serviceaccount,list,batch/jobs,__LIST__,,batch,jobs,,__cluster__,batch/jobs/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""system:controller:cronjob-controller"" of ClusterRole ""system:controller:cronjob-controller"" to ServiceAccount ""cronjob-controller/kube-system""",192.168.3.246,"[""192.168.3.246""]",kube-controller-manager/v1.18.0 (linux/amd64) kubernetes/9e99141/system:serviceaccount:kube-system:cronjob-controller,0
f314e1bd-7171-49f1-8c71-3016a5857972,2026-03-10T03:10:16.233080Z,2026-03-10T03:10:16.233932Z,ResponseComplete,/apis/batch/v1beta1/cronjobs?limit=500,1,,system:serviceaccount:kube-system:cronjob-controller,f6588e3c-8d2f-402f-8306-8494dfdbb0eb,"[""system:serviceaccounts"", ""system:serviceaccounts:kube-system"", ""system:authenticated""]",serviceaccount,list,batch/cronjobs,__LIST__,,batch,cronjobs,,__cluster__,batch/cronjobs/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""system:controller:cronjob-controller"" of ClusterRole ""system:controller:cronjob-controller"" to ServiceAccount ""cronjob-controller/kube-system""",192.168.3.246,"[""192.168.3.246""]",kube-controller-manager/v1.18.0 (linux/amd64) kubernetes/9e99141/system:serviceaccount:kube-system:cronjob-controller,0
0af13580-bc46-4a73-9a17-3c4b10aa36f1,2026-03-10T03:10:18.099390Z,2026-03-10T03:10:18.101211Z,ResponseComplete,/api/v1/namespaces/audit-dev/pods?limit=500,1,,system:serviceaccount:audit-dev:dev-sa,f9de980a-a710-4e5c-a6bc-58400701287d,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-dev"", ""system:authenticated""]",serviceaccount,list,core/pods,__LIST__,,core,pods,,audit-dev,core/pods/audit-dev/__LIST__,200,allow,"RBAC: allowed by RoleBinding ""dev-binding/audit-dev"" of Role ""dev-role"" to ServiceAccount ""dev-sa/audit-dev""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.2 (linux/amd64) kubernetes/fdc9d74,0
2055d963-76ee-4e2b-89af-3f094c4252b0,2026-03-10T03:10:18.159544Z,2026-03-10T03:10:18.161010Z,ResponseComplete,/apis/apps/v1/namespaces/audit-dev/deployments?limit=500,1,,system:serviceaccount:audit-dev:dev-sa,f9de980a-a710-4e5c-a6bc-58400701287d,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-dev"", ""system:authenticated""]",serviceaccount,list,apps/deployments,__LIST__,,apps,deployments,,audit-dev,apps/deployments/audit-dev/__LIST__,200,allow,"RBAC: allowed by RoleBinding ""dev-binding/audit-dev"" of Role ""dev-role"" to ServiceAccount ""dev-sa/audit-dev""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.2 (linux/amd64) kubernetes/fdc9d74,0
5bd62205-517b-4d9e-a4cf-4275189eb44c,2026-03-10T03:00:21.236364Z,2026-03-10T03:10:20.236834Z,ResponseStarted,/api/v1/nodes?allowWatchBookmarks=true&resourceVersion=9091844&timeoutSeconds=599&watch=true,1,,system:serviceaccount:kube-flannel:flannel,088742e9-6cea-40f4-ad8d-559a1e254864,"[""system:serviceaccounts"", ""system:serviceaccounts:kube-flannel"", ""system:authenticated""]",serviceaccount,watch,core/nodes,__LIST__,,core,nodes,,__cluster__,core/nodes/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""flannel"" of ClusterRole ""flannel"" to ServiceAccount ""flannel/kube-flannel""",192.168.3.246,"[""192.168.3.246""]",flanneld/v0.0.0 (linux/amd64) kubernetes/$Format,0
5bd62205-517b-4d9e-a4cf-4275189eb44c,2026-03-10T03:00:21.236364Z,2026-03-10T03:10:20.236908Z,ResponseComplete,/api/v1/nodes?allowWatchBookmarks=true&resourceVersion=9091844&timeoutSeconds=599&watch=true,1,,system:serviceaccount:kube-flannel:flannel,088742e9-6cea-40f4-ad8d-559a1e254864,"[""system:serviceaccounts"", ""system:serviceaccounts:kube-flannel"", ""system:authenticated""]",serviceaccount,watch,core/nodes,__LIST__,,core,nodes,,__cluster__,core/nodes/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""flannel"" of ClusterRole ""flannel"" to ServiceAccount ""flannel/kube-flannel""",192.168.3.246,"[""192.168.3.246""]",flanneld/v0.0.0 (linux/amd64) kubernetes/$Format,0
d6c775ef-eee7-47eb-a0a0-d72e9ef5314a,2026-03-10T03:01:06.631007Z,2026-03-10T03:10:21.631544Z,ResponseStarted,/api/v1/services?allowWatchBookmarks=true&resourceVersion=7771766&timeout=9m15s&timeoutSeconds=555&watch=true,1,,system:serviceaccount:kube-system:coredns,cec6ddb4-db5a-4e8f-83fa-286dd1dd9d1d,"[""system:serviceaccounts"", ""system:serviceaccounts:kube-system"", ""system:authenticated""]",serviceaccount,watch,core/services,__LIST__,,core,services,,__cluster__,core/services/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""system:coredns"" of ClusterRole ""system:coredns"" to ServiceAccount ""coredns/kube-system""",10.244.0.17,"[""10.244.0.17""]",coredns/v0.0.0 (linux/amd64) kubernetes/$Format,0
