Event_ID,window_ts,stage_ts,stage,request_uri,is_resource_request,non_resource_path,actor_id,actor_uid,actor_groups,actor_type,verb,resource_type,resource_name,resource_uid,api_group,resource,subresource,namespace,resource_instance,status_code,decision,reason,source_ip,source_ips_all,user_agent_raw,label
a87706b4-7778-4ef0-84e0-51cffdf33210,2026-03-25T02:11:20.012327Z,2026-03-25T02:19:24.012986Z,ResponseStarted,/api/v1/nodes?allowWatchBookmarks=true&resourceVersion=12173698&timeoutSeconds=484&watch=true,1,,system:serviceaccount:kube-flannel:flannel,088742e9-6cea-40f4-ad8d-559a1e254864,"[""system:serviceaccounts"", ""system:serviceaccounts:kube-flannel"", ""system:authenticated""]",serviceaccount,watch,core/nodes,__LIST__,,core,nodes,,__cluster__,core/nodes/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""flannel"" of ClusterRole ""flannel"" to ServiceAccount ""flannel/kube-flannel""",192.168.3.249,"[""192.168.3.249""]",flanneld/v0.0.0 (linux/amd64) kubernetes/$Format,0
a87706b4-7778-4ef0-84e0-51cffdf33210,2026-03-25T02:11:20.012327Z,2026-03-25T02:19:24.013084Z,ResponseComplete,/api/v1/nodes?allowWatchBookmarks=true&resourceVersion=12173698&timeoutSeconds=484&watch=true,1,,system:serviceaccount:kube-flannel:flannel,088742e9-6cea-40f4-ad8d-559a1e254864,"[""system:serviceaccounts"", ""system:serviceaccounts:kube-flannel"", ""system:authenticated""]",serviceaccount,watch,core/nodes,__LIST__,,core,nodes,,__cluster__,core/nodes/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""flannel"" of ClusterRole ""flannel"" to ServiceAccount ""flannel/kube-flannel""",192.168.3.249,"[""192.168.3.249""]",flanneld/v0.0.0 (linux/amd64) kubernetes/$Format,0
bc30194c-d218-460c-a887-b9a28d08b9c9,2026-03-25T02:19:26.253560Z,2026-03-25T02:19:26.258642Z,ResponseComplete,/api/v1/pods?limit=500,1,,system:serviceaccount:audit-sys:sys-sa,bda9fe10-10d8-4896-b54f-0537f4f8d840,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-sys"", ""system:authenticated""]",serviceaccount,list,core/pods,__LIST__,,core,pods,,__cluster__,core/pods/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""sys-sa-global-reader"" of ClusterRole ""sys-global-reader"" to ServiceAccount ""sys-sa/audit-sys""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
1ee5f5a8-ff24-43d9-8ba5-f1d8e811a0a2,2026-03-25T02:19:26.316996Z,2026-03-25T02:19:26.318423Z,ResponseComplete,/apis/apps/v1/deployments?limit=500,1,,system:serviceaccount:audit-sys:sys-sa,bda9fe10-10d8-4896-b54f-0537f4f8d840,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-sys"", ""system:authenticated""]",serviceaccount,list,apps/deployments,__LIST__,,apps,deployments,,__cluster__,apps/deployments/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""sys-sa-global-reader"" of ClusterRole ""sys-global-reader"" to ServiceAccount ""sys-sa/audit-sys""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
725d915d-2e24-49ab-9176-8dbb04a4556b,2026-03-25T02:19:26.372373Z,2026-03-25T02:19:26.373872Z,ResponseComplete,/api/v1/services?limit=500,1,,system:serviceaccount:audit-sys:sys-sa,bda9fe10-10d8-4896-b54f-0537f4f8d840,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-sys"", ""system:authenticated""]",serviceaccount,list,core/services,__LIST__,,core,services,,__cluster__,core/services/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""sys-sa-global-reader"" of ClusterRole ""sys-global-reader"" to ServiceAccount ""sys-sa/audit-sys""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
5ef7aa5d-52fd-4f0a-a294-630b9f484890,2026-03-25T02:19:26.434193Z,2026-03-25T02:19:26.436830Z,ResponseComplete,/api/v1/endpoints?limit=500,1,,system:serviceaccount:audit-sys:sys-sa,bda9fe10-10d8-4896-b54f-0537f4f8d840,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-sys"", ""system:authenticated""]",serviceaccount,list,core/endpoints,__LIST__,,core,endpoints,,__cluster__,core/endpoints/__cluster__/__LIST__,200,allow,"RBAC: allowed by ClusterRoleBinding ""sys-sa-global-reader"" of ClusterRole ""sys-global-reader"" to ServiceAccount ""sys-sa/audit-sys""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
3d48f4cc-99b8-4ad3-b8db-cdd5a76041c7,2026-03-25T02:19:26.494049Z,2026-03-25T02:19:26.496498Z,ResponseComplete,/api/v1/namespaces/audit-dev/pods?limit=500,1,,system:serviceaccount:audit-dev:dev-sa,f9de980a-a710-4e5c-a6bc-58400701287d,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-dev"", ""system:authenticated""]",serviceaccount,list,core/pods,__LIST__,,core,pods,,audit-dev,core/pods/audit-dev/__LIST__,200,allow,"RBAC: allowed by RoleBinding ""dev-binding/audit-dev"" of Role ""dev-role"" to ServiceAccount ""dev-sa/audit-dev""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
f66b450b-d540-4d85-bf6b-08dd30792020,2026-03-25T02:19:26.549484Z,2026-03-25T02:19:26.550667Z,ResponseComplete,/apis/apps/v1/namespaces/audit-dev/deployments?limit=500,1,,system:serviceaccount:audit-dev:dev-sa,f9de980a-a710-4e5c-a6bc-58400701287d,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-dev"", ""system:authenticated""]",serviceaccount,list,apps/deployments,__LIST__,,apps,deployments,,audit-dev,apps/deployments/audit-dev/__LIST__,200,allow,"RBAC: allowed by RoleBinding ""dev-binding/audit-dev"" of Role ""dev-role"" to ServiceAccount ""dev-sa/audit-dev""",192.168.3.247,"[""192.168.3.247""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
0f1f2f10-84dc-47ea-a879-656a337be681,2026-03-25T02:19:27.130446Z,2026-03-25T02:19:27.132229Z,ResponseComplete,/apis/apps/v1/namespaces/audit-dev/deployments?limit=500,1,,system:serviceaccount:audit-ops:ops-sa,cbef2ba6-6b64-405a-9318-ecb79008ae4b,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-ops"", ""system:authenticated""]",serviceaccount,list,apps/deployments,__LIST__,,apps,deployments,,audit-dev,apps/deployments/audit-dev/__LIST__,200,allow,"RBAC: allowed by RoleBinding ""ops-role-binding/audit-dev"" of ClusterRole ""ops-role"" to ServiceAccount ""ops-sa/audit-ops""",192.168.3.248,"[""192.168.3.248""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
d5c8b59f-ee04-4e4e-8cb6-3d9d183c4cba,2026-03-25T02:19:27.185493Z,2026-03-25T02:19:27.186434Z,ResponseComplete,/apis/apps/v1/namespaces/audit-dev/deployments/api,1,,system:serviceaccount:audit-ops:ops-sa,cbef2ba6-6b64-405a-9318-ecb79008ae4b,"[""system:serviceaccounts"", ""system:serviceaccounts:audit-ops"", ""system:authenticated""]",serviceaccount,get,apps/deployments,api,,apps,deployments,,audit-dev,apps/deployments/audit-dev/api,200,allow,"RBAC: allowed by RoleBinding ""ops-role-binding/audit-dev"" of ClusterRole ""ops-role"" to ServiceAccount ""ops-sa/audit-ops""",192.168.3.248,"[""192.168.3.248""]",kubectl/v1.35.3 (linux/amd64) kubernetes/6c1cd99,0
